股票代码,股票名称,最新价,今日涨跌额,今日主力净流入净额,今日主力净流入净占比,今日超大单净流入净额,今日超大单净流入净占比,今日大单净流入净额,今日大单净流入净占比,今日中单净流入净额,今日中单净流入净占比,今日小单净流入净额,今日小单净流入净占比
688622,禾信仪器,37.76,-2.18,-1686449.0,-15.44,0.0,0.0,-1686449.0,-15.44,1122918.0,10.28,563530.0,5.16
002852,道道全,13.82,0.14,-1690408.0,-6.47,-1117002.0,-4.28,-573406.0,-2.2,-1813273.0,-6.94,3503681.0,13.42
300636,同和药业,13.33,-0.22,-1690718.0,-7.9,0.0,0.0,-1690718.0,-7.9,358763.0,1.68,1331955.0,6.22
603458,勘设股份,9.72,-1.22,-1692462.0,-15.05,-1932.0,-0.02,-1690530.0,-15.04,1103248.0,9.81,589214.0,5.24
000826,启迪环境,3.07,-1.29,-1692970.0,-9.5,0.0,0.0,-1692970.0,-9.5,1321875.0,7.42,371096.0,2.08
301112,信邦智能,36.25,1.48,-1701323.0,-0.9,-5586303.0,-2.97,3884980.0,2.06,10461081.0,5.56,-8759757.0,-4.65
000715,中兴商业,7.44,-1.46,-1706368.0,-5.06,0.0,0.0,-1706368.0,-5.06,3624361.0,10.75,-1917992.0,-5.69
600844,丹化科技,2.74,-1.08,-1706554.0,-26.87,-1298452.0,-20.44,-408102.0,-6.43,955385.0,15.04,751169.0,11.83
603949,雪龙集团,14.85,-1.59,-1715332.0,-19.99,-798768.0,-9.31,-916564.0,-10.68,-52652.0,-0.61,1767984.0,20.61
300220,ST金运,6.44,-7.47,-1715949.0,-6.53,0.0,0.0,-1715949.0,-6.53,686163.0,2.61,1029786.0,3.92
301213,观想科技,40.57,-0.54,-1718819.0,-11.92,0.0,0.0,-1718819.0,-11.92,-208024.0,-1.44,1926843.0,13.36
688501,青达环保,25.94,-0.84,-1718845.0,-7.12,640499.0,2.65,-2359344.0,-9.78,491648.0,2.04,1227197.0,5.09
002777,久远银海,28.57,5.31,-1719845.0,-0.25,3624752.0,0.53,-5344597.0,-0.78,-20837798.0,-3.06,22557644.0,3.31
300485,赛升药业,10.75,-0.19,-1720529.0,-8.23,0.0,0.0,-1720529.0,-8.23,-1115586.0,-5.34,2836115.0,13.57
000411,英特集团,13.04,-0.91,-1722229.0,-9.97,0.0,0.0,-1722229.0,-9.97,672905.0,3.9,1049324.0,6.07
600121,郑州煤电,4.41,-0.68,-1723050.0,-6.8,771764.0,3.04,-2494814.0,-9.84,2063106.0,8.14,-340056.0,-1.34
301158,德石股份,17.76,-0.67,-1724108.0,-6.12,0.0,0.0,-1724108.0,-6.12,-2226686.0,-7.9,3950795.0,14.02
300396,迪瑞医疗,35.89,1.1,-1727534.0,-6.43,569906.0,2.12,-2297440.0,-8.55,-604317.0,-2.25,2331851.0,8.68
000729,燕京啤酒,11.99,0.5,-1727869.0,-2.73,0.0,0.0,-1727869.0,-2.73,5593852.0,8.85,-3865983.0,-6.12
002540,亚太科技,5.43,-1.45,-1732653.0,-8.8,0.0,0.0,-1732653.0,-8.8,1296237.0,6.59,436416.0,2.22
603050,科林电气,21.93,-0.95,-1733143.0,-3.82,1279801.0,2.82,-3012944.0,-6.65,-2627973.0,-5.8,4361116.0,9.62
000421,南京公用,5.13,0.2,-1734425.0,-7.66,0.0,0.0,-1734425.0,-7.66,-2365063.0,-10.45,4099488.0,18.12
002598,山东章鼓,11.0,-1.43,-1737291.0,-6.47,0.0,0.0,-1737291.0,-6.47,-918776.0,-3.42,2656067.0,9.89
603912,佳力图,12.7,-0.78,-1739858.0,-2.4,1287164.0,1.78,-3027022.0,-4.18,-7120257.0,-9.84,8860115.0,12.24
300294,博雅生物,37.15,0.57,-1740182.0,-2.66,-245695.0,-0.38,-1494487.0,-2.28,-2884919.0,-4.41,4625102.0,7.07
301070,开勒股份,36.12,-3.24,-1741258.0,-12.16,0.0,0.0,-1741258.0,-12.16,-1253734.0,-8.76,2994992.0,20.92
600587,新华医疗,35.52,0.45,-1741986.0,-1.09,-8617067.0,-5.38,6875081.0,4.29,11580171.0,7.22,-9838186.0,-6.14
300128,锦富技术,4.26,0.47,-1743174.0,-3.34,-189411.0,-0.36,-1553763.0,-2.97,266975.0,0.51,1476199.0,2.82
688286,敏芯股份,54.28,0.35,-1747491.0,-7.97,-1107289.0,-5.05,-640202.0,-2.92,-3881743.0,-17.72,5629234.0,25.69
600833,第一医药,12.45,-0.88,-1747999.0,-7.86,-166074.0,-0.75,-1581925.0,-7.11,-723488.0,-3.25,2471487.0,11.11
603220,中贝通信,14.48,1.61,-1748854.0,-2.74,1236728.0,1.94,-2985582.0,-4.68,-1812542.0,-2.84,3561396.0,5.58
000058,深 赛 格,6.25,-0.32,-1751422.0,-11.32,0.0,0.0,-1751422.0,-11.32,-2271227.0,-14.68,4022649.0,26.0
000750,国海证券,3.45,-0.29,-1752738.0,-4.12,-544520.0,-1.28,-1208218.0,-2.84,3635096.0,8.55,-1882358.0,-4.43
301317,鑫磊股份,24.12,-0.9,-1753126.0,-15.51,0.0,0.0,-1753126.0,-15.51,317732.0,2.81,1435394.0,12.7
001218,丽臣实业,23.34,0.69,-1753138.0,-17.15,0.0,0.0,-1753138.0,-17.15,965401.0,9.44,787737.0,7.71
601368,绿城水务,5.59,-1.58,-1754452.0,-2.18,-4709756.0,-5.85,2955304.0,3.67,5643511.0,7.01,-3889060.0,-4.83
603033,三维股份,19.3,1.31,-1754756.0,-7.84,-2691129.0,-12.02,936373.0,4.18,1792943.0,8.01,-38187.0,-0.17
002033,丽江股份,9.82,-0.1,-1755175.0,-6.22,258266.0,0.92,-2013441.0,-7.14,-215462.0,-0.76,1970637.0,6.98
603991,至正股份,38.92,0.05,-1755480.0,-15.86,-420421.0,-3.8,-1335059.0,-12.06,440476.0,3.98,1315004.0,11.88
688401,路维光电,46.66,1.0,-1761396.0,-5.53,519914.0,1.63,-2281310.0,-7.16,362193.0,1.14,1399203.0,4.39
603439,贵州三力,18.57,-0.64,-1761824.0,-1.36,867493.0,0.67,-2629317.0,-2.02,-3063799.0,-2.36,4825623.0,3.72
000608,阳光股份,2.65,-1.85,-1762871.0,-13.09,-1638771.0,-12.17,-124100.0,-0.92,2206152.0,16.38,-443281.0,-3.29
603289,泰瑞机器,10.31,-1.43,-1764495.0,-11.47,678950.0,4.41,-2443445.0,-15.89,-2653646.0,-17.25,4418141.0,28.73
300314,戴维医疗,21.72,1.21,-1765377.0,-6.49,0.0,0.0,-1765377.0,-6.49,-2651321.0,-9.74,4416698.0,16.23
603538,美诺华,20.49,0.0,-1765793.0,-7.82,-366789.0,-1.62,-1399004.0,-6.19,-91940.0,-0.41,1857733.0,8.22
603116,红蜻蜓,5.8,-1.19,-1768205.0,-7.81,-851181.0,-3.76,-917024.0,-4.05,-789948.0,-3.49,2558153.0,11.3
603608,天创时尚,4.85,-10.02,-1768501.0,-1.0,-3920320.0,-2.21,2151819.0,1.21,4428363.0,2.49,-2659861.0,-1.5
002719,麦趣尔,8.89,-2.41,-1778087.0,-5.12,0.0,0.0,-1778087.0,-5.12,-2716548.0,-7.82,4494635.0,12.94
301087,可孚医疗,49.95,3.14,-1779656.0,-2.9,1003941.0,1.63,-2783597.0,-4.53,-1927629.0,-3.14,3707284.0,6.04
301161,唯万密封,22.1,-1.16,-1784505.0,-9.92,0.0,0.0,-1784505.0,-9.92,-1957028.0,-10.88,3741533.0,20.8
688398,赛特新材,31.79,-1.85,-1785453.0,-17.95,-2239422.0,-22.51,453969.0,4.56,989097.0,9.94,796357.0,8.01
002419,天虹股份,6.16,0.16,-1785524.0,-5.52,-1298511.0,-4.01,-487013.0,-1.5,1491421.0,4.61,294103.0,0.91
300735,光弘科技,11.09,1.37,-1787976.0,-3.37,-1928482.0,-3.63,140506.0,0.26,-95541.0,-0.18,1883517.0,3.55
601828,美凯龙,4.76,-0.21,-1788074.0,-7.9,771018.0,3.41,-2559092.0,-11.3,520299.0,2.3,1267775.0,5.6
688006,杭可科技,41.52,-2.88,-1793953.0,-3.25,70851.0,0.13,-1864804.0,-3.38,1120193.0,2.03,673759.0,1.22
603607,京华激光,13.92,-0.43,-1795834.0,-14.8,358900.0,2.96,-2154734.0,-17.76,-649782.0,-5.35,2445617.0,20.15
603766,隆鑫通用,4.71,0.0,-1797009.0,-10.34,-1173410.0,-6.75,-623599.0,-3.59,1948458.0,11.21,-151448.0,-0.87
002372,伟星新材,20.21,-0.69,-1800456.0,-2.64,-1234640.0,-1.81,-565816.0,-0.83,-4496549.0,-6.6,6297006.0,9.24
605081,太和水,16.47,-0.9,-1806446.0,-15.59,-491903.0,-4.25,-1314543.0,-11.35,310459.0,2.68,1495987.0,12.91
000798,中水渔业,10.11,-0.69,-1807394.0,-4.13,-3567400.0,-8.16,1760006.0,4.03,-2987250.0,-6.83,4794644.0,10.97
688077,大地熊,25.97,-0.5,-1808566.0,-24.53,-54938.0,-0.75,-1753628.0,-23.79,-374747.0,-5.08,2183314.0,29.61
002303,美盈森,3.38,-0.59,-1810896.0,-13.97,0.0,0.0,-1810896.0,-13.97,231615.0,1.79,1579281.0,12.18
301057,汇隆新材,18.68,-1.16,-1813105.0,-17.15,0.0,0.0,-1813105.0,-17.15,593216.0,5.61,1219889.0,11.54
688499,利元亨,88.91,-3.13,-1817406.0,-4.22,-278013.0,-0.65,-1539393.0,-3.58,2525157.0,5.87,-707751.0,-1.64
002195,二三四五,2.89,1.4,-1818282.0,-1.1,-3947042.0,-2.38,2128760.0,1.28,-2098792.0,-1.26,3917074.0,2.36
300368,汇金股份,6.57,-0.15,-1818981.0,-10.0,0.0,0.0,-1818981.0,-10.0,-149434.0,-0.82,1968415.0,10.82
688571,杭华股份,6.01,-1.8,-1821749.0,-21.49,-211521.0,-2.5,-1610228.0,-19.0,1042321.0,12.3,779428.0,9.2
300755,华致酒行,24.7,-1.4,-1835935.0,-8.58,0.0,0.0,-1835935.0,-8.58,-1520871.0,-7.11,3356807.0,15.69
000990,诚志股份,8.05,-1.59,-1838791.0,-8.38,-242055.0,-1.1,-1596736.0,-7.28,3424432.0,15.61,-1585641.0,-7.23
002570,贝因美,4.2,-0.94,-1839727.0,-11.58,-1184316.0,-7.46,-655411.0,-4.13,593765.0,3.74,1245962.0,7.84
