股票代码,股票名称,最新价,今日涨跌额,今日主力净流入净额,今日主力净流入净占比,今日超大单净流入净额,今日超大单净流入净占比,今日大单净流入净额,今日大单净流入净占比,今日中单净流入净额,今日中单净流入净占比,今日小单净流入净额,今日小单净流入净占比
000761,本钢板材,3.18,-0.31,567671.0,2.23,0.0,0.0,567671.0,2.23,501711.0,1.97,-1069382.0,-4.21
688426,康为世纪,20.28,-2.27,560730.0,8.36,0.0,0.0,560730.0,8.36,1135410.0,16.93,-1696141.0,-25.29
002233,塔牌集团,7.18,0.84,559652.0,0.86,84724.0,0.13,474928.0,0.73,2404336.0,3.7,-2963988.0,-4.56
688398,赛特新材,34.08,-0.2,556679.0,1.5,3981733.0,10.72,-3425054.0,-9.22,1292867.0,3.48,-1849545.0,-4.98
600530,ST交昂,1.93,-2.03,546851.0,6.11,-98.0,0.0,546949.0,6.11,-694134.0,-7.76,147285.0,1.65
200429,粤高速Ｂ,6.86,-0.44,543925.0,9.25,0.0,0.0,543925.0,9.25,-731921.0,-12.45,187996.0,3.2
002732,燕塘乳业,16.65,-0.54,538353.0,2.99,0.0,0.0,538353.0,2.99,-1240088.0,-6.89,701736.0,3.9
300929,华骐环保,8.96,-0.33,537184.0,3.91,0.0,0.0,537184.0,3.91,1509706.0,11.0,-2046890.0,-14.91
300881,盛德鑫泰,26.62,0.95,534478.0,0.77,0.0,0.0,534478.0,0.77,-1197441.0,-1.72,662963.0,0.95
001225,和泰机电,32.34,-1.34,533295.0,6.87,0.0,0.0,533295.0,6.87,-98155.0,-1.27,-435140.0,-5.61
605339,南侨食品,16.94,-1.51,532877.0,2.42,0.0,0.0,532877.0,2.42,175659.0,0.8,-708536.0,-3.21
603585,苏利股份,12.61,-1.48,527333.0,4.89,0.0,0.0,527333.0,4.89,-621453.0,-5.77,94121.0,0.87
300855,图南股份,27.33,-1.26,526107.0,0.31,3354122.0,1.95,-2828015.0,-1.64,3620599.0,2.1,-4146705.0,-2.41
300018,中元股份,5.26,0.96,523472.0,0.78,201760.0,0.3,321712.0,0.48,-3125470.0,-4.66,2601999.0,3.88
002941,新疆交建,11.37,-0.52,512746.0,0.82,-3000.0,0.0,515746.0,0.83,898461.0,1.44,-1411207.0,-2.26
002374,中锐股份,2.57,-1.15,510937.0,3.26,721913.0,4.6,-210976.0,-1.34,895739.0,5.71,-1406676.0,-8.97
002674,兴业科技,12.59,0.0,510376.0,3.31,0.0,0.0,510376.0,3.31,-1484416.0,-9.61,974040.0,6.31
002642,荣联科技,5.97,-1.49,508709.0,0.69,7160530.0,9.69,-6651821.0,-9.01,-6409680.0,-8.68,5900971.0,7.99
200625,长  安Ｂ,3.98,0.25,507600.0,4.13,0.0,0.0,507600.0,4.13,-1206884.0,-9.83,699284.0,5.7
603319,湘油泵,17.6,-2.49,505365.0,0.55,-5105565.0,-5.51,5610930.0,6.06,-3298477.0,-3.56,2793113.0,3.02
003023,彩虹集团,18.28,0.94,499713.0,0.99,0.0,0.0,499713.0,0.99,-1018395.0,-2.02,518682.0,1.03
605365,立达信,18.32,0.11,495557.0,1.14,120709.0,0.28,374848.0,0.86,1986158.0,4.55,-2481716.0,-5.69
603335,迪生力,4.85,-1.42,494663.0,1.52,-167302.0,-0.51,661965.0,2.03,470742.0,1.44,-965405.0,-2.96
301270,汉仪股份,26.49,-2.54,494448.0,1.07,-301546.0,-0.65,795994.0,1.73,-2711229.0,-5.89,2216781.0,4.81
301448,开创电气,26.2,-1.47,491499.0,1.88,457560.0,1.75,33939.0,0.13,-3009087.0,-11.52,2517587.0,9.64
000576,甘化科工,7.59,-0.39,489855.0,1.4,1455400.0,4.15,-965545.0,-2.75,-3207838.0,-9.14,2717983.0,7.75
600917,重庆燃气,6.14,0.99,488536.0,1.16,984103.0,2.33,-495567.0,-1.17,-3845199.0,-9.1,3356663.0,7.95
600053,九鼎投资,15.39,0.59,485731.0,0.51,-808801.0,-0.84,1294532.0,1.35,-1202530.0,-1.25,716797.0,0.75
002183,怡 亚 通,3.57,-1.38,485550.0,0.8,1321120.0,2.18,-835570.0,-1.38,2130565.0,3.52,-2616115.0,-4.32
002977,天箭科技,30.14,-0.46,484588.0,0.37,5913187.0,4.51,-5428599.0,-4.14,-715350.0,-0.55,230762.0,0.18
000030,富奥股份,5.83,-0.17,479384.0,1.27,0.0,0.0,479384.0,1.27,-1114003.0,-2.95,634619.0,1.68
301123,奕东电子,16.79,-1.98,477764.0,1.87,0.0,0.0,477764.0,1.87,-1703067.0,-6.68,1225303.0,4.8
688395,正弦电气,16.39,-3.13,476758.0,5.84,0.0,0.0,476758.0,5.84,93980.0,1.15,-570736.0,-7.0
002973,侨银股份,10.06,1.11,476682.0,0.91,609415.0,1.16,-132733.0,-0.25,4190536.0,7.96,-4667218.0,-8.86
301276,嘉曼服饰,22.73,-1.81,472615.0,2.46,0.0,0.0,472615.0,2.46,-1342928.0,-7.0,870314.0,4.54
301359,东南电子,19.53,-1.66,472037.0,2.06,0.0,0.0,472037.0,2.06,731099.0,3.19,-1203136.0,-5.24
000670,盈方微,5.06,-1.17,468474.0,0.7,3189694.0,4.79,-2721220.0,-4.09,1117611.0,1.68,-1586085.0,-2.38
300314,戴维医疗,12.62,-3.66,467944.0,0.13,-5707950.0,-1.64,6175894.0,1.78,-18496362.0,-5.32,18028418.0,5.19
601798,蓝科高新,6.15,-1.28,465652.0,1.09,1329197.0,3.1,-863545.0,-2.02,-2391639.0,-5.58,1925987.0,4.5
601609,金田股份,6.73,1.05,458803.0,0.59,-3271537.0,-4.23,3730340.0,4.82,732729.0,0.95,-1191531.0,-1.54
002347,泰尔股份,4.54,-1.09,449326.0,0.8,369202.0,0.66,80124.0,0.14,-2861155.0,-5.1,2411829.0,4.3
000419,通程控股,4.76,-0.42,449158.0,2.04,0.0,0.0,449158.0,2.04,-1148451.0,-5.22,699293.0,3.18
301023,江南奕帆,31.7,-1.25,446444.0,3.08,0.0,0.0,446444.0,3.08,-1300347.0,-8.97,853903.0,5.89
002695,煌上煌,8.14,-0.73,445724.0,2.22,-1021760.0,-5.09,1467484.0,7.31,1152012.0,5.74,-1597736.0,-7.95
001230,劲旅环境,19.48,-0.61,445508.0,3.46,0.0,0.0,445508.0,3.46,-783481.0,-6.08,337974.0,2.62
688296,和达科技,10.68,-2.2,444272.0,3.23,144984.0,1.05,299288.0,2.17,-1410425.0,-10.24,966152.0,7.01
002718,友邦吊顶,12.53,-0.48,441576.0,3.0,-185566.0,-1.26,627142.0,4.27,-1077309.0,-7.33,635733.0,4.33
002072,凯瑞德,3.97,-1.0,441356.0,2.0,0.0,0.0,441356.0,2.0,41926.0,0.19,-483282.0,-2.19
688237,超卓航科,23.05,-1.66,440512.0,2.33,0.0,0.0,440512.0,2.33,-1619297.0,-8.58,1178784.0,6.24
002207,准油股份,5.57,0.54,437403.0,0.65,540379.0,0.8,-102976.0,-0.15,-1378147.0,-2.04,940744.0,1.4
601718,际华集团,2.8,-0.36,426853.0,0.78,-3591742.0,-6.58,4018595.0,7.36,3815872.0,6.99,-4242725.0,-7.77
002638,勤上股份,1.99,-0.5,426281.0,2.71,1106042.0,7.04,-679761.0,-4.32,-105515.0,-0.67,-320766.0,-2.04
002836,新宏泽,7.03,-0.71,423249.0,2.16,-39144.0,-0.2,462393.0,2.35,-1484425.0,-7.56,1061177.0,5.4
002696,百洋股份,4.97,0.0,418535.0,1.51,0.0,0.0,418535.0,1.51,-3170582.0,-11.4,2752047.0,9.9
600458,时代新材,11.95,0.17,418325.0,0.54,-2327311.0,-3.0,2745636.0,3.53,-1287703.0,-1.66,869378.0,1.12
002248,华东数控,6.49,-1.52,415138.0,1.09,2086453.0,5.5,-1671315.0,-4.4,-2998184.0,-7.9,2583046.0,6.81
600939,重庆建工,2.65,0.38,415049.0,1.57,-931023.0,-3.51,1346072.0,5.08,-684976.0,-2.59,269927.0,1.02
301319,唯特偶,46.4,-3.07,408246.0,1.16,0.0,0.0,408246.0,1.16,3337839.0,9.47,-3746085.0,-10.63
603386,骏亚科技,10.1,-2.42,404436.0,1.86,-38608.0,-0.18,443044.0,2.04,1841624.0,8.48,-2246060.0,-10.34
002913,奥士康,24.88,-3.04,403534.0,0.45,818813.0,0.92,-415279.0,-0.47,-1554595.0,-1.75,1151060.0,1.29
000701,厦门信达,4.42,0.45,400921.0,0.28,-1339445.0,-0.94,1740366.0,1.23,2699808.0,1.9,-3100729.0,-2.18
000159,国际实业,5.84,-0.68,399126.0,2.35,360760.0,2.13,38366.0,0.23,1387960.0,8.18,-1787086.0,-10.53
200488,晨  鸣Ｂ,1.42,1.43,395775.0,19.87,0.0,0.0,395775.0,19.87,-430189.0,-21.6,34414.0,1.73
002329,皇氏集团,4.18,-0.48,392270.0,1.3,0.0,0.0,392270.0,1.3,-1673489.0,-5.56,1281220.0,4.26
300958,建工修复,12.71,-1.93,392101.0,0.86,-1034004.0,-2.26,1426105.0,3.11,-3438557.0,-7.5,3046456.0,6.65
002639,雪人股份,6.08,-0.82,388509.0,0.6,-612000.0,-0.95,1000509.0,1.56,-3024252.0,-4.7,2635743.0,4.1
301381,赛维时代,25.97,-1.25,384340.0,1.08,0.0,0.0,384340.0,1.08,-1151416.0,-3.24,767076.0,2.16
301261,恒工精密,44.64,-0.78,383900.0,0.75,-3546072.0,-6.91,3929972.0,7.65,3944128.0,7.68,-4328028.0,-8.43
688211,中科微至,28.81,-0.93,378603.0,5.08,0.0,0.0,378603.0,5.08,936713.0,12.57,-1315317.0,-17.64
